timestamp,latitude,longitude,altitude_m,CO2_ppm,PM2.5,NOx_ppb,SO2_ppb,O3_ppb,temperature_C,humidity_%,wind_speed_mps,rainfall_mm,emission_level
2023-11-08 20:38:57,37.76113978081345,-122.43707665551327,140.63,439.48,44.21,16.24,9.63,40.37,24.08,63.86,4.6,0.87,High
2022-10-28 15:14:46,37.779635440373326,-122.42410152034931,148.83,388.36,48.61,19.16,6.42,64.13,18.27,86.82,5.85,1.16,Medium
2021-05-02 19:27:46,37.78223054075302,-122.4150001336887,138.32,390.34,21.09,24.53,5.89,31.22,29.35,36.72,8.5,1.35,Medium
2021-04-14 15:14:07,37.777717758976216,-122.41856662959896,147.28,391.17,40.68,25.27,15.02,55.71,37.31,68.39,3.12,0.89,Medium
2024-01-25 06:08:23,37.770695260727024,-122.42766047301127,80.99,415.91,24.12,23.81,11.91,47.12,36.3,81.75,4.77,0.29,Medium
2025-08-05 02:43:39,37.7658888717196,-122.41695026296608,106.8,414.93,23.79,26.27,6.16,48.33,26.79,46.09,9.01,1.43,Medium
2024-04-05 22:38:44,37.77649364365207,-122.43127755101061,146.0,440.57,44.88,22.34,10.69,38.9,27.13,47.01,4.46,2.65,High
2021-07-28 06:32:00,37.76401740650168,-122.42231568845494,137.26,392.1,3.14,22.76,6.81,42.11,24.75,86.86,3.57,1.56,Medium
2020-04-17 16:57:51,37.76477504251355,-122.4115478290864,129.86,388.96,33.99,29.9,3.72,48.38,26.96,65.41,6.13,0.24,Medium
2022-01-06 23:04:51,37.79423692563579,-122.42344702230221,137.15,449.36,29.69,23.03,13.8,45.81,35.17,52.93,2.59,2.13,High
2022-04-07 19:40:32,37.770802880843505,-122.4186899459789,138.64,429.23,45.48,21.65,3.67,34.72,21.5,89.02,5.41,0.78,Medium
2020-12-05 04:31:58,37.76244828433366,-122.42824514589631,129.03,418.53,36.3,20.85,10.76,42.73,35.02,86.46,7.96,2.01,Medium
2025-03-16 02:24:28,37.7662568389895,-122.42718544558622,113.99,403.77,34.81,9.36,7.92,58.43,32.42,51.94,5.65,1.53,Medium
2025-07-22 13:29:37,37.794055714331,-122.41993031388162,143.43,381.64,11.76,13.22,12.09,56.72,35.28,47.66,5.24,1.72,Medium
2020-01-12 13:52:05,37.76970634801022,-122.43878173533884,144.98,411.83,34.13,13.23,3.46,40.53,21.39,65.62,9.39,2.09,Medium
2025-08-18 14:21:22,37.76050336060946,-122.41866681390545,141.42,421.41,45.47,28.53,5.12,58.82,23.87,79.51,8.2,2.6,Medium
2024-12-26 06:56:35,37.78683180715867,-122.41340144276889,129.14,405.81,37.11,10.78,3.5,46.65,18.72,60.61,5.66,0.86,Medium
2021-10-22 16:51:41,37.787804022426386,-122.42499237434355,88.89,378.6,53.72,21.03,9.65,32.29,19.71,37.84,5.55,1.62,Medium
2023-02-28 09:29:18,37.786707447790754,-122.42856670994951,110.73,380.7,54.94,17.33,7.05,48.18,32.29,71.31,3.16,2.86,Medium
2024-06-23 02:11:25,37.76913890714605,-122.40908615558142,81.01,359.69,32.15,34.98,7.94,35.67,27.47,44.53,4.62,1.2,Low
2021-06-05 03:33:51,37.769884504585065,-122.41436560337142,115.22,410.12,45.92,18.38,8.18,51.47,29.51,56.35,6.61,1.37,Medium
2022-11-05 11:02:00,37.79334762255296,-122.40318597432176,93.71,403.15,29.16,21.66,10.65,40.35,18.47,79.8,3.18,0.35,Medium
2024-02-13 10:28:55,37.78430284175216,-122.4072607627846,99.74,413.79,26.48,5.7,4.34,38.31,36.62,82.21,4.58,2.25,Medium
2020-03-09 16:48:19,37.78795829864431,-122.42659801595877,142.69,429.05,38.89,18.96,8.29,50.95,30.64,59.66,3.29,0.99,Medium
2022-05-04 20:22:15,37.78648472571179,-122.43575175587804,114.61,401.9,26.87,27.8,7.56,36.75,20.86,76.88,6.37,0.3,Medium
2025-08-10 08:49:26,37.783149689086265,-122.43614604877432,85.94,391.97,48.85,16.18,6.01,58.6,19.67,77.74,5.8,1.27,Medium
2021-03-07 02:44:12,37.77110808347126,-122.4165410789918,131.87,416.19,41.43,26.72,11.4,39.6,27.55,39.56,5.52,1.31,Medium
2021-12-13 12:46:20,37.75663603133193,-122.40241426679106,144.34,364.5,45.12,11.47,5.89,35.33,37.92,73.33,4.15,2.21,Medium
2022-12-10 15:07:37,37.77312627011143,-122.41459469608793,99.42,396.06,18.74,28.26,2.57,25.87,34.28,72.66,2.04,2.73,Medium
2024-06-18 18:04:46,37.79166706207342,-122.43609006319858,141.37,409.06,20.22,21.52,12.2,40.53,27.61,89.19,4.08,2.25,Medium
2020-06-27 16:12:32,37.7736477263918,-122.42280721990649,99.14,400.13,35.56,16.4,9.87,34.32,37.08,68.34,2.67,2.02,Medium
2021-12-08 06:25:57,37.775712308036155,-122.40850726433057,116.41,396.44,37.04,29.23,11.08,46.66,26.07,42.37,0.77,2.27,Medium
2024-02-11 18:38:37,37.779590548483895,-122.4001814909963,122.57,420.58,59.63,22.01,6.64,24.71,36.21,51.39,5.47,2.09,Medium
2024-04-10 23:16:09,37.78565670965262,-122.43675056088593,83.21,449.03,16.72,29.65,9.13,31.28,24.83,64.55,4.87,1.75,High
2022-06-16 07:03:39,37.78276005864909,-122.4229335514257,141.2,411.69,35.18,9.07,9.51,39.97,24.95,36.75,5.71,1.6,Medium
2023-10-14 01:48:13,37.76810398053241,-122.4265366894128,86.46,426.13,58.57,18.42,4.32,45.42,25.55,35.14,8.75,0.25,Medium
2022-04-15 14:55:21,37.7643446613247,-122.4090017836425,117.19,393.68,36.53,26.93,9.41,41.42,25.94,40.77,7.51,0.55,Medium
2020-01-07 21:25:43,37.764228656461995,-122.42568292542886,113.18,422.55,51.12,9.54,15.72,38.76,32.74,65.68,6.07,1.69,Medium
2021-09-05 05:51:25,37.779202208891746,-122.4296258737814,114.88,412.41,32.67,18.35,1.17,52.97,18.11,88.63,5.16,2.17,Medium
2025-09-02 14:10:07,37.77396477936506,-122.40585669765188,94.36,403.63,42.69,13.48,13.54,47.66,33.36,39.8,5.31,2.8,Medium
2024-11-03 00:05:49,37.77307071888877,-122.41745587528247,118.42,415.67,22.85,39.12,6.19,42.87,35.01,76.03,4.38,2.8,Medium
2022-09-02 11:34:34,37.79195797694359,-122.41053613796994,83.37,403.99,41.95,23.98,10.29,51.38,34.5,45.25,2.74,1.9,Medium
2025-04-25 12:41:24,37.78221928253669,-122.42132205594804,129.96,406.25,44.67,1.39,12.53,26.39,25.83,64.25,1.13,0.69,Medium
2022-06-06 02:06:50,37.76829622458629,-122.43382911709347,135.58,424.92,42.59,38.17,8.55,47.48,21.03,52.14,2.86,2.23,Medium
2025-04-22 01:09:04,37.789970625470474,-122.42571673005136,137.49,393.25,23.25,16.45,9.13,52.57,32.4,70.26,7.09,1.63,Medium
